PERMNO,date,EXCHCD,TICKER,COMNAM,CUSIP,SHROUT,PRC,RET,vwretd,ewretd
86457,12/22/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,48.92,-0.00204,-0.002722,-0.004952
86457,12/23/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,48.97,0.001022,0.00185,0.004898
86457,12/27/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,49.17,0.004084,0.002514,0.003185
86457,12/28/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,48.73,-0.008949,-0.007972,-0.007224
86457,12/29/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,272456,48.74,0.000205,0.000586,0.001372
86457,12/30/2016,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,48.36,-0.007796,-0.004036,-0.001821
86457,1/3/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,48.79,0.008892,0.008206,0.009126
86457,1/4/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,48.96,0.003484,0.008616,0.013143
86457,1/5/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.04,0.001634,-0.000925,-0.00089
86457,1/6/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.4,0.007341,0.002307,-0.001358
86457,1/9/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.39,-0.000202,-0.00392,-0.003249
86457,1/10/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.4,0.000203,0.001304,0.006073
86457,1/11/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.63,0.004656,0.00322,0.002877
86457,1/12/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.51,-0.002418,-0.002547,-0.003449
86457,1/13/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.66,0.00303,0.00283,0.005344
86457,1/17/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.47,-0.003826,-0.003682,-0.005099
86457,1/18/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.6,0.002628,0.00141,0.00025
86457,1/19/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.53,-0.001411,-0.003878,-0.005069
86457,1/20/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.8,0.005451,0.003625,0.003889
86457,1/23/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,49.89,0.001807,-0.001924,-0.001932
86457,1/24/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,50.2,0.006214,0.008365,0.009527
86457,1/25/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,50.68,0.009562,0.008061,0.007648
86457,1/26/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,50.54,-0.002762,-0.001135,-0.002516
