PERMNO,date,EXCHCD,TICKER,COMNAM,CUSIP,PRC,RET,SHROUT,vwretd,ewretd,sprtrn
86451,09/21/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.36250,0.000742,87420,-0.003096,-0.002993,-0.002564
86451,09/22/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.41000,0.001564,87420,-0.005024,-0.005274,-0.004825
86451,09/23/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.25000,-0.005261,87420,-0.008099,-0.006130,-0.008331
86451,09/24/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.66000,0.013554,87420,0.021173,0.020093,0.021194
86451,09/27/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.43000,-0.007502,87420,-0.004455,-0.001482,-0.005667
86451,09/28/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.68000,0.008216,87420,0.005781,0.007419,0.004850
86451,09/29/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.57000,-0.003585,87420,-0.001081,0.002010,-0.002588
86451,09/30/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.49000,-0.002617,90520,-0.001993,0.001188,-0.003084
86451,10/01/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.49000,0.000000,90520,0.004937,0.004493,0.004416
86451,10/04/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.19000,-0.009839,90520,-0.008282,-0.009039,-0.008035
86451,10/05/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.75000,0.018549,90520,0.020549,0.018553,0.020861
86451,10/06/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.63000,-0.003902,90520,-0.000341,-0.000476,-0.000672
86451,10/07/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.69000,0.001959,90520,-0.002127,-0.001649,-0.001647
86451,10/08/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.77000,0.002607,90520,0.007606,0.009940,0.006122
86451,10/11/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.79000,0.000650,90520,0.000551,0.001864,0.000146
86451,10/12/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.86000,0.002273,90520,0.003649,0.003778,0.003819
86451,10/13/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.08000,0.007129,90520,0.008783,0.011162,0.007121
86451,10/14/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.02000,-0.001930,90520,-0.003668,-0.001719,-0.003641
86451,10/15/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.15000,0.004191,90520,0.000698,-0.000571,0.002028
86451,10/18/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.44000,0.009310,90520,0.006289,0.005752,0.007244
86451,10/19/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.85000,-0.018766,90520,-0.017199,-0.016750,-0.015877
86451,10/20/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.14000,0.009400,90520,0.011258,0.010229,0.010524
86451,10/21/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.22000,0.002569,90520,0.000277,-0.003004,0.001774
86451,10/22/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.23000,0.000320,90520,0.002655,0.005054,0.002389
86451,10/25/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.40000,0.005443,90520,0.003724,0.005161,0.002147
86451,10/26/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.31000,-0.002866,90520,-0.000428,0.000521,0.000017
86451,10/27/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.12000,-0.006068,90520,-0.003317,-0.004151,-0.002691
86451,10/28/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.30000,0.005784,90520,0.001143,-0.000819,0.001125
86451,10/29/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.17000,-0.004153,88320,0.001654,0.003562,-0.000439
86451,11/01/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.17000,0.000000,88320,0.000144,-0.003470,0.000947
86451,11/02/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.47000,0.009625,88320,0.009039,0.011679,0.007759
86451,11/03/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.49000,0.000636,88320,0.003447,0.002310,0.003678
86451,11/04/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.64100,0.004795,88320,0.019910,0.017271,0.019283
86451,11/05/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.45000,-0.006036,88320,0.004011,0.004520,0.003923
86451,11/08/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.37000,-0.002544,88320,-0.000899,0.002139,-0.002121
86451,11/09/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.24000,-0.004144,88320,-0.008481,-0.009238,-0.008052
86451,11/10/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.23000,-0.000320,88320,0.005429,0.005936,0.004376
86451,11/11/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.32000,0.002882,88320,-0.003619,-0.004355,-0.004242
86451,11/12/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.93000,-0.012452,88320,-0.013378,-0.012542,-0.011808
86451,11/15/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.94000,0.000323,88320,-0.001330,-0.001282,-0.001217
86451,11/16/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.49000,-0.014544,88320,-0.016840,-0.016690,-0.016205
86451,11/17/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.54000,0.001640,88320,0.001620,0.002874,0.000212
86451,11/18/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.97000,0.014080,88320,0.015549,0.012536,0.015357
86451,11/19/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.99750,0.000888,88320,0.003735,0.003857,0.002540
86451,11/22/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.01000,0.000403,88320,-0.000276,0.001012,-0.001575
86451,11/23/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.56000,-0.014511,88320,-0.014125,-0.010233,-0.014284
86451,11/24/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.84500,0.009326,88320,0.015663,0.014284,0.014923
86451,11/26/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.58000,-0.008591,88320,-0.006875,-0.002551,-0.007469
86451,11/29/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.55000,-0.000981,88320,-0.000913,-0.000616,-0.001379
86451,11/30/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.27000,-0.009165,88970,-0.005785,-0.005337,-0.006070
86451,12/01/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.85000,0.019161,88970,0.020809,0.013248,0.021617
86451,12/02/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.09000,0.007780,88970,0.012215,0.008930,0.012818
86451,12/03/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.09000,0.000000,88970,0.003956,0.005112,0.002603
86451,12/06/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.89000,-0.006433,88970,0.000026,0.002998,-0.001298
86451,12/07/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.91000,0.000647,88970,0.000186,0.000222,0.000515
86451,12/08/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.94000,0.000971,88970,0.001545,-0.000997,0.003702
