cusip,shares,tm,date
"47816010",66400,2001m12,31dec2001
"48268610",70200,2001m12,31dec2001
"50075N10",65250,2001m12,31dec2001
"51384710",587950,2001m12,31dec2001
"55254110",50000,2001m12,31dec2001
"55262C10",10000,2001m12,31dec2001
"57174810",2000,2001m12,31dec2001
"57459910",69500,2001m12,31dec2001
"58933110",40325,2001m12,31dec2001
"71708110",15900,2001m12,31dec2001
"71815410",263725,2001m12,31dec2001
"73173810",45450,2001m12,31dec2001
"74271810",26622,2001m12,31dec2001
"76169510",78000,2001m12,31dec2001
"78223310",151400,2001m12,31dec2001
"78387G10",10526,2001m12,31dec2001
"80412010",10000,2001m12,31dec2001
"80412020",173500,2001m12,31dec2001
"80685710",27700,2001m12,31dec2001
"81760N10",164415,2001m12,31dec2001
"82434810",15175,2001m12,31dec2001
"89102710",20000,2001m12,31dec2001
"89604710",31500,2001m12,31dec2001
"89989610",40000,2001m12,31dec2001
"90297330",27515,2001m12,31dec2001
"90478470",5357,2001m12,31dec2001
"91886610",32500,2001m12,31dec2001
"92343V10",4392,2001m12,31dec2001
"92552R10",31800,2001m12,31dec2001
"93005910",6776,2001m12,31dec2001
"94106L10",82100,2001m12,31dec2001
"95081710",9460,2001m12,31dec2001
"00184A10",50225,2002m3,28mar2002
"00282410",4000,2002m3,28mar2002
"02581610",17650,2002m3,28mar2002
"03522910",26648,2002m3,28mar2002
"03875Q10",21940,2002m3,28mar2002
"05981530",113850,2002m3,28mar2002
"08055510",13300,2002m3,28mar2002
"08467010",144,2002m3,28mar2002
"08467020",645,2002m3,28mar2002
"09282810",86975,2002m3,28mar2002
"09367110",220990,2002m3,28mar2002
"11012210",150575,2002m3,28mar2002
"12720930",61825,2002m3,28mar2002
"15670010",55800,2002m3,28mar2002
"15688010",18600,2002m3,28mar2002
"18905410",267858,2002m3,28mar2002
"19121610",92725,2002m3,28mar2002
"24903010",387000,2002m3,28mar2002
"24950910",483550,2002m3,28mar2002
"29101110",22300,2002m3,28mar2002
"29266R10",15529,2002m3,28mar2002
"29442910",50700,2002m3,28mar2002
"31340030",127455,2002m3,28mar2002
"31358610",25150,2002m3,28mar2002
"31996310",178950,2002m3,28mar2002
"32096010",265325,2002m3,28mar2002
"35346910",969145,2002m3,28mar2002
"36473010",12520,2002m3,28mar2002
"36665110",45600,2002m3,28mar2002
"36960410",9200,2002m3,28mar2002
"38131710",10000,2002m3,28mar2002
"39075210",71050,2002m3,28mar2002
"42823610",20300,2002m3,28mar2002
"44106M10",98400,2002m3,28mar2002
"44993410",59350,2002m3,28mar2002
"45775010",410100,2002m3,28mar2002
"46069010",115700,2002m3,28mar2002
"47816010",63520,2002m3,28mar2002
"48268610",45000,2002m3,28mar2002
"50075N10",164250,2002m3,28mar2002
"50104410",30225,2002m3,28mar2002
"51384710",720150,2002m3,28mar2002
"53271610",65604,2002m3,28mar2002
